iter	Passed	Remaining
0	72	72047
1	79	39508
2	102	34040
3	127	31802
4	142	28397
5	153	25499
6	158	22484
7	167	20817
8	182	20080
9	205	20342
10	225	20284
11	240	19783
12	256	19444
13	262	18498
14	275	18100
15	283	17414
16	296	17128
17	310	16920
18	318	16450
19	327	16063
20	337	15721
21	352	15679
22	363	15447
23	381	15497
24	395	15434
25	414	15528
26	425	15341
27	437	15201
28	448	15013
29	461	14935
30	470	14718
31	481	14570
32	494	14492
33	506	14379
34	525	14479
35	537	14381
36	549	14304
37	575	14563
38	592	14602
39	619	14878
40	643	15040
41	668	15255
42	698	15540
43	719	15630
44	732	15553
45	752	15608
46	767	15562
47	780	15487
48	794	15420
49	806	15323
50	821	15283
51	833	15193
52	851	15213
53	872	15284
54	892	15334
55	910	15353
56	931	15416
57	953	15481
58	978	15603
59	1004	15744
60	1025	15790
61	1039	15728
62	1056	15711
63	1070	15661
64	1087	15643
65	1102	15599
66	1118	15579
67	1134	15546
68	1155	15585
69	1171	15563
70	1187	15531
71	1202	15500
72	1221	15515
73	1234	15452
74	1250	15424
75	1276	15523
76	1292	15488
77	1314	15537
78	1338	15602
79	1358	15620
80	1376	15614
81	1395	15625
82	1410	15580
83	1424	15530
84	1441	15518
85	1461	15528
86	1479	15525
87	1497	15515
88	1509	15455
89	1526	15435
90	1543	15417
91	1556	15358
92	1572	15337
93	1588	15308
94	1604	15282
95	1624	15294
96	1649	15356
97	1673	15406
98	1697	15447
99	1714	15433
100	1731	15411
101	1742	15337
102	1762	15351
103	1774	15284
104	1793	15283
105	1815	15311
106	1831	15282
107	1852	15300
108	1870	15293
109	1911	15465
110	1945	15581
111	1965	15584
112	1990	15627
113	2036	15830
114	2052	15796
115	2067	15754
116	2082	15716
117	2099	15694
118	2119	15693
119	2143	15717
120	2162	15706
121	2183	15716
122	2195	15653
123	2213	15639
124	2228	15599
125	2246	15580
126	2267	15586
127	2282	15551
128	2300	15531
129	2329	15589
130	2345	15561
131	2362	15532
132	2379	15512
133	2400	15514
134	2414	15470
135	2430	15438
136	2446	15414
137	2462	15380
138	2478	15351
139	2497	15341
140	2513	15314
141	2531	15297
142	2543	15244
143	2559	15215
144	2575	15185
145	2589	15144
146	2605	15121
147	2622	15098
148	2644	15103
149	2660	15074
150	2679	15065
151	2701	15072
152	2774	15361
153	2803	15402
154	2826	15410
155	2839	15360
156	2868	15403
157	2894	15426
158	2926	15480
159	2949	15483
160	2980	15529
161	2999	15516
162	3024	15532
163	3059	15593
164	3083	15601
165	3113	15642
166	3140	15664
167	3170	15699
168	3196	15719
169	3234	15790
170	3263	15822
171	3291	15843
172	3316	15855
173	3346	15887
174	3374	15907
175	3408	15960
176	3438	15987
177	3465	16005
178	3496	16038
179	3546	16155
180	3582	16211
181	3611	16229
182	3634	16227
183	3656	16214
184	3688	16248
185	3712	16248
186	3741	16265
187	3775	16304
188	3808	16343
189	3839	16367
190	3863	16365
191	3893	16386
192	3925	16412
193	3952	16421
194	3971	16397
195	4004	16424
196	4023	16399
197	4052	16416
198	4080	16425
199	4114	16459
200	4142	16467
201	4172	16484
202	4191	16457
203	4210	16430
204	4232	16412
205	4262	16427
206	4287	16423
207	4308	16404
208	4353	16477
209	4380	16477
210	4406	16478
211	4435	16487
212	4474	16533
213	4500	16528
214	4528	16533
215	4552	16525
216	4577	16515
217	4606	16524
218	4638	16542
219	4663	16535
220	4704	16581
221	4739	16608
222	4766	16607
223	4796	16617
224	4817	16594
225	4843	16588
226	4874	16599
227	4897	16583
228	4926	16586
229	4955	16591
230	4985	16596
231	5024	16631
232	5060	16659
233	5087	16654
234	5129	16697
235	5170	16739
236	5200	16743
237	5224	16727
238	5253	16729
239	5287	16745
240	5319	16753
241	5354	16772
242	5383	16770
243	5412	16769
244	5447	16786
245	5470	16768
246	5505	16782
247	5537	16791
248	5564	16783
249	5595	16786
250	5618	16766
251	5641	16746
252	5671	16746
253	5693	16721
254	5757	16822
255	5785	16815
